Model,Test Accuracy,Test F1-Macro,CV F1-Macro,Time (s)
Logistic Regression,0.729064039408867,0.6627777777777778,0.5673570553516428,0.39124512672424316
Linear SVM,0.7487684729064039,0.6895146219407303,0.5430249832167743,0.08368301391601562
SGD Classifier,0.7536945812807881,0.6980867252140545,0.5412824521759854,0.029819965362548828
XGBoost,0.7487684729064039,0.675433243532701,0.5212203640162555,5.210992813110352
LightGBM,0.7142857142857143,0.6283634760616859,0.5114487043066143,14.860804080963135
Gradient Boosting,0.7438423645320197,0.6585262398420292,0.48996650344864506,11.463827848434448
Extra Trees,0.7339901477832512,0.6298156151417021,0.4877690361890236,4.459599018096924
Random Forest,0.7142857142857143,0.6097792733754414,0.48432707965909144,2.805440902709961
Decision Tree,0.6650246305418719,0.597190916603803,0.47958543551578325,0.16995596885681152
Neural Network (MLP),0.6945812807881774,0.6104981831219112,0.46127361516928644,7.7250988483428955
K-Nearest Neighbors,0.6945812807881774,0.6220028964198592,0.45364103649862847,0.020798921585083008
Naive Bayes (Multinomial),0.6798029556650246,0.5640792360304556,0.45284483640292833,0.008917093276977539
Naive Bayes (Complement),0.6995073891625616,0.6313983457212206,0.4207140709119418,0.00886392593383789
SVM (RBF kernel),0.7044334975369458,0.6151386419021274,0.4205434799441357,0.9907262325286865
AdaBoost,0.5369458128078818,0.32647018676430445,0.29823899619283967,0.7489347457885742
